# 1 galaxy
# 2 aorid
# 3 ch1_flux
# 4 ch1_sig
# 5 ch2_flux
# 6 ch2_sig
J1506+5402  r34963712  209.4  4.8  217.4  4.7  
J0905+5759  r34950656  144.0  3.8  113.3  3.5   
J1341-0321  none       -1     -1   -1     -1 
J0944+0930  r34960640  170.4  4.2  145.8  4.2 
J2140+1209  r34964480  200.3  4.4  202.8  4.8 
J0826+4305  r34968320  207.3  4.4  157.8  4.2
J1613+2834  r34954752  309.7  6.0  349.0  6.3
J1219+0336  r34952448  246.6  4.9  243.2  5.2
J1107+0417  none       -1     -1   -1     -1
J0901+0314  r34956032  233.6  4.7  214.9  4.9 
J0106-1023  r34953984  301.9  5.8  294.9  5.6
J2116-0634  r26566656  192.7  4.3  122.9  3.8
J1558+3957  r34956544  241.0  5.4  270.2  5.5
J2118+0017  r34954240  336.2  5.8  351.1  6.1 
J1635+4709  r34961408  233.8  5.1  152.8  4.1 
J1359+5137  r34962688  203.4  4.5  217.9  4.8 
J1125-0145  r34962944  285.5  5.2  245.9  5.2 
J1450+4621  r34958848  242.6  5.2  151.6  4.1 
J1039+4537  r34965760  291.7  5.1  215.1  4.8 
J2256+1504  r34956800  272.8  5.0  183.7  4.7 
J1506+6131  r34973952  151.3  4.0  123.6  3.8 
J0908+1039  r34955008  313.2  5.4  255.0  5.4 
J0827+2954  r34971648  168.8  4.2  113.0  3.9 
J1634+4619  r34951936  463.4  7.1  413.7  6.5
J1232+0723  r34958080  222.3  4.7  205.9  4.8 
J1104+5946  none        -1    -1    -1     -1
J1229+3545  r34959616  226.1  4.6  151.5  4.2 
J1248+0601  r34972672  135.9  3.7   91.5  3.3 
J1713+2817  r34970368  176.1  4.6  176.7  4.5
