#
# SED templates.  MS (main sequence star forming at z=0.5) and starburst are from '
# Magdis et al. 2012. The 70% AGN tempate is from Ciesla 2015
#
#  Wave (um)   Flux_MS (mJy)  Flux_Burst (mJy)   Flux AGN (mJy)
      1.00000    0.0052940163    0.0023677514      0.83077758
      1.00900    0.0066020448    0.0029220684      0.84427344
      1.01900    0.0085810734    0.0037575531      0.85942747
      1.02800     0.011516428    0.0049936718      0.87316325
      1.03800     0.015340573    0.0065988682      0.88822750
      1.04700     0.018666070    0.0079848482      0.89820111
      1.05700     0.019224778    0.0082048137      0.90844050
      1.06700     0.017114760    0.0073087993      0.91869720
      1.07600     0.014390666    0.0061611827      0.92794457
      1.08600     0.012200998    0.0052423566      0.93476150
      1.09600     0.010699305    0.0046148477      0.93159304
      1.10700    0.0097458780    0.0042153957      0.92802223
      1.11700    0.0091895176    0.0039814599      0.92482246
      1.12700    0.0089171428    0.0038669974      0.92219164
      1.13800    0.0088675243    0.0038458161      0.92452686
      1.14800    0.0090129787    0.0039027633      0.92936714
      1.15900    0.0093327427    0.0040332014      0.93466995
      1.16900    0.0098394847    0.0042389703      0.93947379
      1.18000     0.010550567    0.0045280882      0.94680072
      1.19100     0.011498245    0.0049099042      0.96000185
      1.20200     0.012707976    0.0053991217      0.97425941
      1.21300     0.014198172    0.0059964896      0.98859200
      1.22500     0.015935408    0.0066924341       1.0011964
      1.23600     0.017789240    0.0074369185       1.0077266
      1.24700     0.019533398    0.0081291976       1.0140090
      1.25900     0.020852807    0.0086500539       1.0208447
      1.27100     0.021526936    0.0089104796       1.0276620
      1.28200     0.021508521    0.0088943254       1.0343305
      1.29400     0.020975269    0.0086706957       1.0443018
      1.30600     0.020152281    0.0083345036       1.0547558
      1.31800     0.019243897    0.0079674221       1.0652172
      1.33000     0.018392055    0.0076231525       1.0756865
      1.34300     0.017642967    0.0073230091       1.0861083
      1.35500     0.017030066    0.0070765683       1.0946692
      1.36800     0.016540685    0.0068809112       1.1039287
      1.38000     0.016173649    0.0067330463       1.1124662
      1.39300     0.015902448    0.0066219795       1.1207794
      1.40600     0.015716643    0.0065506277       1.1226197
      1.41900     0.015603563    0.0065028346       1.1222988
      1.43200     0.015556290    0.0064851838       1.1219808
      1.44500     0.015558637    0.0064822668       1.0968132
      1.45900     0.015606028    0.0065014140       1.0489261
      1.47200     0.015694940    0.0065337987       1.0154657
      1.48600     0.015815058    0.0065801708       1.0237088
      1.50000     0.015969778    0.0066390320       1.0383374
      1.51400     0.016146435    0.0067082145       1.0530384
      1.52800     0.016346198    0.0067818105       1.0678125
      1.54200     0.016566726    0.0068678976       1.0981900
      1.55600     0.016802267    0.0069591442       1.1451774
      1.57000     0.017059743    0.0070555509       1.1757937
      1.58500     0.017325314    0.0071600371       1.1879244
      1.60000     0.017611647    0.0072689343       1.2000639
      1.61400     0.017904901    0.0073785811       1.2114020
      1.62900     0.018207421    0.0074933867       1.2273764
      1.64400     0.018516862    0.0076118581       1.2521794
      1.66000     0.018832053    0.0077303292       1.2789170
      1.67500     0.019149587    0.0078495492       1.3037946
      1.69000     0.019465949    0.0079687678       1.3146062
      1.70600     0.019783484    0.0080879875       1.3198265
      1.72200     0.020092925    0.0082027935       1.3250200
      1.73800     0.020388524    0.0083131872       1.3301848
      1.75400     0.020662192    0.0084184209       1.3353211
      1.77000     0.020906996    0.0085074981       1.3309513
      1.78600     0.021103362    0.0085818427       1.3058579
      1.80300     0.021239665    0.0086341225       1.2750259
      1.82000     0.021289402    0.0086511004       1.2452138
      1.83700     0.021237555    0.0086356933       1.2125971
      1.85400     0.021078375    0.0085769057       1.1724893
      1.87100     0.020875326    0.0085041327       1.1725834
      1.88800     0.020745005    0.0084585844       1.1796132
      1.90500     0.020875564    0.0085079480       1.1866221
      1.92300     0.021377848    0.0086963490       1.1940207
      1.94100     0.022219484    0.0090068877       1.1964914
      1.95900     0.023249275    0.0093858615       1.1849327
      1.97700     0.024318360    0.0097780737       1.1722231
      1.99500     0.025357419     0.010161461       1.1597745
      2.01400     0.026331838     0.010514704       1.1470233
      2.03200     0.027241633     0.010849550       1.1378501
      2.05100     0.028099459     0.011162334       1.1304771
      2.07000     0.028908838     0.011458211       1.1232298
      2.08900     0.029689362     0.011740854       1.1160929
      2.10900     0.030447953     0.012015418       1.1091667
      2.12800     0.031191526     0.012285568       1.1046426
      2.14800     0.031915511     0.012552054       1.1002959
      2.16800     0.032639497     0.012814875       1.0960036
      2.18800     0.033363481     0.013074030       1.0916025
      2.20800     0.034080541     0.013338346       1.0868953
      2.22800     0.034805702     0.013599747       1.0822176
      2.24900     0.035532033     0.013866307       1.0773697
      2.27000     0.036266457     0.014134362       1.0725853
      2.29100     0.037007801     0.014403915       1.0658022
      2.31200     0.037758417     0.014679377       1.0460569
